factor,class,rank_ic_h10,rank_icir_h10,rank_ic_h20,rank_icir_h20,pos_ratio_h10,topq_turnover,avg_hold_days,ls_costadj_8bps,ls_costadj_15bps,ls_costadj_25bps,monotonicity_h10,f2_crash_ic_h10,max_decorr_other,max_corr_ref,capacity_rmb,g_ic_pos,g_turn,g_cost,g_crash,g_decorr,verdict
D1_low_vol_20,defensive,0.0797,0.355,0.087,0.372,0.677,0.0743,13.5,0.00459,0.00454,0.00446,0.3,0.08,0.908,0.351,0.077,True,True,True,True,True,accept
D2_trend_quality_60,low_turnover,-0.0711,-0.465,-0.0758,-0.481,0.335,0.1139,8.8,-0.00924,-0.00932,-0.00944,-1.0,-0.0622,0.585,0.479,0.246,False,True,False,True,,reject
D3_near_high_120,defensive,-0.0404,-0.205,-0.0493,-0.262,0.443,0.12,8.3,-0.00855,-0.00864,-0.00876,-1.0,-0.0094,0.585,0.467,0.202,False,True,False,False,,reject
D4_liquidity_amount_60,liquidity,-0.0884,-0.476,-0.1077,-0.561,0.3,0.0083,120.8,-0.01047,-0.01048,-0.01049,-1.0,0.0009,0.878,0.936,0.39,False,True,False,True,,reject
D5_amihud_illiq_neg_20,liquidity,-0.07,-0.339,-0.0904,-0.419,0.29,0.0248,40.4,-0.01044,-0.01045,-0.01048,-1.0,0.0413,0.878,0.873,0.366,False,True,False,True,,reject
D6_vol_compression,defensive,0.0492,0.485,0.0515,0.532,0.702,0.3288,3.0,0.00688,0.00665,0.00632,0.9,0.0093,0.18,0.245,0.085,True,False,True,True,,reject
D7_downside_range_neg_20,defensive,0.0784,0.324,0.0876,0.343,0.654,0.0442,22.6,0.00368,0.00365,0.0036,0.1,0.0866,0.908,0.326,0.089,True,True,True,True,False,redundant
